时间,轴心轨迹
2020-12-10 00:48:24,0.3
2020-12-10 00:48:34,0.31
2020-12-10 00:48:44,0.3
2020-12-10 00:48:54,0.3
2020-12-10 00:49:04,0.29
2020-12-10 00:49:14,0.3
2020-12-10 00:49:24,0.3
2020-12-10 00:49:34,0.3
2020-12-10 00:49:44,0.3
2020-12-10 00:49:54,0.36
2020-12-10 00:50:04,0.34
2020-12-10 00:50:14,0.34
2020-12-10 00:50:24,0.33
2020-12-10 00:50:34,0.34
2020-12-10 00:50:44,0.32
2020-12-10 00:50:54,0.36
2020-12-10 00:51:04,0.35
2020-12-10 00:51:14,0.33
2020-12-10 00:51:24,0.34
2020-12-10 00:51:34,0.33
2020-12-10 00:51:44,0.31
2020-12-10 00:51:54,0.32
2020-12-10 00:52:04,0.33
2020-12-10 00:52:14,0.32
2020-12-10 00:52:24,0.32
2020-12-10 00:52:34,0.33
2020-12-10 00:52:44,0.34
2020-12-10 00:52:54,0.33
2020-12-10 00:53:04,0.32
2020-12-10 00:53:14,0.32
2020-12-10 00:53:24,0.33
2020-12-10 00:53:34,0.35
2020-12-10 00:53:44,0.34
2020-12-10 00:53:54,0.33
2020-12-10 00:54:04,0.35
2020-12-10 00:54:14,0.33
2020-12-10 00:54:24,0.33
2020-12-10 00:54:34,0.34
2020-12-10 00:54:44,0.32
2020-12-10 00:54:54,0.32
2020-12-10 00:55:04,0.33
2020-12-10 00:55:14,0.32
2020-12-10 00:55:24,0.32
2020-12-10 00:55:34,0.3
2020-12-10 00:55:44,0.32
2020-12-10 00:55:54,0.32
2020-12-10 00:56:04,0.3
2020-12-10 00:56:14,0.31
2020-12-10 00:56:24,0.33
2020-12-10 00:56:34,0.33
2020-12-10 00:56:44,0.34
2020-12-10 00:56:54,0.34
2020-12-10 00:57:04,0.33
2020-12-10 00:57:14,0.31
2020-12-10 00:57:24,0.31
2020-12-10 00:57:34,0.3
2020-12-10 00:57:44,0.31
2020-12-10 00:57:54,0.3
2020-12-10 00:58:04,0.3
2020-12-10 00:58:14,0.3
2020-12-10 00:58:24,0.3
2020-12-10 00:58:34,0.29
2020-12-10 00:58:44,0.3
2020-12-10 00:58:54,0.31
2020-12-10 00:59:04,0.29
2020-12-10 00:59:14,0.3
2020-12-10 00:59:24,0.3
2020-12-10 00:59:34,0.29
2020-12-10 00:59:44,0.29
2020-12-10 00:59:54,0.31
2020-12-10 01:00:04,0.3
2020-12-10 01:00:14,0.29
2020-12-10 01:00:24,0.31
2020-12-10 01:00:34,0.31
2020-12-10 01:00:44,0.29
2020-12-10 01:00:54,0.29
2020-12-10 01:01:04,0.31
2020-12-10 01:01:14,0.28
